time,dist,rate
0,0.282,4.823
18,0.282,4.823
36,0.282,4.823
56,0.282,4.823
81,0.282,4.823
99,0.282,4.823
118,0.282,4.823
138,0.282,4.823
157,0.282,4.823
181,0.282,4.823
199,0.282,4.823
217,0.282,4.823
236,0.282,4.823
257,1.644,7.199
276,1.986,6.979
297,2.37,6.736
319,2.37,6.736
337,2.37,6.736
357,2.688,7.227
381,2.688,7.227
399,4.56,34.664
417,4.56,34.664
436,4.56,34.664
457,4.56,34.664
476,3.378,-26.265
500,3.816,6.843
518,3.816,6.843
536,3.816,6.843
557,4.098,6.878
576,4.098,6.878
600,4.098,6.878
616,4.098,6.878
639,4.392,7.17
656,4.392,7.17
678,4.74,6.96
698,4.74,6.96
718,5.088,6.96
737,5.088,6.96
757,5.436,6.823
781,5.436,6.823
799,5.436,6.823
819,5.766,6.6
836,5.766,6.6
856,6.096,6.734
880,6.096,6.734
899,6.096,6.734
919,6.438,6.576
939,6.438,6.576
956,6.792,7.079
980,6.792,7.079
996,6.792,7.079
1018,7.115,6.75
1040,7.115,6.75
1059,7.451,6.588
1080,7.451,6.588
1099,7.451,6.588
1116,7.451,6.588
1138,7.451,6.588
1156,7.451,6.588
1181,7.451,6.588
1199,7.451,6.588
1218,7.451,6.588
1239,7.451,6.588
1256,7.451,6.588
1281,7.451,6.588
1296,8.129,6.923
1318,9.155,6.763
1340,9.155,6.763
1356,9.593,6.537
1380,9.593,6.537
1398,9.593,6.537
1418,9.839,7.028
1438,9.839,7.028
1457,10.175,6.222
1476,10.175,6.222
1500,10.175,6.222
1516,10.493,6.625
1536,10.493,6.625
1557,10.787,6.125
1576,10.787,6.125
1600,10.787,6.125
1617,10.787,6.125
1638,10.787,6.125
1656,10.787,6.125
1678,10.787,6.125
1699,11.441,6.235
1718,11.759,6.489
1738,11.759,6.489
1756,12.101,6.576
1776,12.101,6.576
1800,12.101,6.576
1819,12.425,6.352
1837,12.425,6.352
1856,12.743,6.489
1876,12.743,6.489
1900,12.743,6.489
1919,13.067,6.48
1936,13.067,6.48
1956,13.379,6.24
1976,13.379,6.24
2000,13.379,6.24
2018,13.715,6.461
2037,13.715,6.461
2056,14.015,6.25
2081,14.015,6.25
2097,14.015,6.25
2118,14.015,6.25
2137,14.345,6.6
2156,14.345,6.6
2177,14.345,6.6
2200,14.345,6.6
2218,14.345,6.6
2238,14.345,6.6
2256,14.345,6.6
2277,14.345,6.6
2298,14.345,6.6
2317,14.345,6.6
2339,14.345,6.6
2356,15.635,6.47
2379,15.941,6
2396,15.941,6
2418,16.313,6.413
2439,16.313,6.413
2456,16.313,6.413
2476,16.589,6.133
2499,16.589,6.133
2518,18.413,40.53
2538,18.413,40.53
2557,18.413,40.53
2577,17.213,-23.528
2600,17.213,-23.528
2617,17.519,6.12
2640,17.519,6.12
2657,17.519,6.12
2678,17.519,6.12
2700,17.519,6.12
2718,17.519,6.12
2738,18.143,6.383
2756,18.143,6.383
2778,18.461,6.235
2799,18.461,6.235
2816,18.785,6.23
2837,18.785,6.23
2856,19.079,5.653
2881,19.079,5.653
2898,19.079,5.653
2919,19.379,6.521
2936,19.379,6.521
2956,19.379,6.521
2977,19.679,6
2997,19.679,6
3018,19.679,6
3036,19.985,6.12
3056,19.985,6.12
3077,20.279,5.88
3099,20.279,5.88
3118,20.597,6.115
3139,20.597,6.115
3156,20.597,6.115
3177,20.908,6
3200,20.908,6
3216,20.908,6
3238,20.908,6
3257,20.908,6
3280,20.908,6
3299,20.908,6
3318,20.908,6
3338,20.908,6
3356,20.908,6
3381,20.908,6
3399,22.078,5.76
3417,22.372,5.653
3440,22.372,5.653
3460,22.372,5.653
3476,22.732,5.714
3500,22.732,5.714
3518,22.966,5.571
3536,22.966,5.571
3557,22.966,5.571
3578,23.278,6.367
3600,23.278,6.367
3618,23.566,5.76
3636,23.566,5.76
3657,23.566,5.76
3677,23.872,5.884
3700,23.872,5.884
3719,23.872,5.884
3739,23.872,5.884
3758,23.872,5.884
3780,23.872,5.884
3798,24.442,5.88
3819,24.736,5.88
3838,24.736,5.88
3857,24.736,5.88
3881,25.036,5.555
3898,25.036,5.555
3919,25.312,5.75
3937,25.312,5.75
3956,25.312,5.75
3981,25.606,5.764
3998,25.606,5.764
4018,25.888,5.875
4040,25.888,5.875
4057,25.888,5.875
4077,26.176,5.647
4099,26.176,5.647
4116,26.524,5.613
4141,26.524,5.613
4156,26.524,5.613
4181,26.752,6
4199,26.752,6
4218,27.028,5.632
4239,27.028,5.632
4257,27.028,5.632
4276,27.028,5.632
4300,27.028,5.632
4318,27.028,5.632
4336,27.028,5.632
4356,27.028,5.632
4376,27.028,5.632
4399,27.028,5.632
4419,27.028,5.632
4436,27.028,5.632
4456,28.15,5.529
4479,28.432,5.529
4500,28.432,5.529
4519,28.714,5.755
4537,28.714,5.755
4559,28.714,5.755
4579,28.99,5.411
4598,28.99,5.411
4616,28.99,5.411
4638,29.26,5.625
4656,29.26,5.625
4678,29.542,5.64
4697,29.542,5.64
4718,29.83,5.647
4737,29.83,5.647
4759,29.83,5.647
4777,29.83,5.647
4796,29.83,5.647
4816,29.83,5.647
4836,30.37,5.5
4856,30.37,5.5
4877,30.628,5.265
4900,30.628,5.265
4918,30.628,5.265
4938,30.922,5.653
4956,30.922,5.653
4976,31.192,5.51
5000,31.192,5.51
5016,31.456,5.387
5037,31.456,5.387
5057,31.456,5.387
5078,31.726,5.192
5099,31.726,5.192
5118,31.996,5.4
5136,31.996,5.4
5157,31.996,5.4
5181,33.784,36.487
5198,33.784,36.487
5216,32.524,-25.198
5237,32.524,-25.198
5256,32.524,-25.198
5277,32.77,5.02
5300,32.77,5.02
5317,32.77,5.02
5336,32.77,5.02
5356,32.77,5.02
5380,32.77,5.02
5399,32.77,5.02
5416,32.77,5.02
5436,32.77,5.02
5458,32.77,5.02
5477,32.77,5.02
5500,33.826,5.265
5518,34.084,5.16
5536,34.084,5.16
5556,34.084,5.16
5579,34.36,5.207
5599,34.36,5.207
5618,34.36,5.207
5637,34.612,5.142
5656,34.612,5.142
5678,34.612,5.142
5699,34.612,5.142
5717,35.103,4.978
5736,35.103,4.978
5756,35.103,4.978
5778,35.361,4.961
5799,35.361,4.961
5817,35.361,4.961
5836,35.361,4.961
5856,35.361,4.961
5880,35.361,4.961
5896,35.853,4.898
5917,36.099,5.125
5937,36.099,5.125
5956,36.099,5.125
5976,36.363,4.981
6000,36.363,4.981
6018,36.609,5.02
6036,36.609,5.02
6056,36.609,5.02
6080,36.867,4.868
6097,36.867,4.868
6118,37.101,4.875
6136,37.101,4.875
6156,37.101,4.875
6176,37.365,4.889
6200,37.365,4.889
6216,37.365,4.889
6238,37.599,4.775
6256,37.599,4.775
6276,37.833,4.978
6300,37.833,4.978
6316,37.833,4.978
6336,37.833,4.978
6356,37.833,4.978
6376,37.833,4.978
6397,37.833,4.978
6418,37.833,4.978
6439,37.833,4.978
6456,37.833,4.978
6479,37.833,4.978
